203: 11065202,33029735
207: 88164,13311819
209: 60891
210: 182188,417370
211: 18964
212: 183370
214: 505878,782824
216: 21111,21555729
217: 19167553,158548
218: 13690575,384701
219: 9288
220: 22093,4380391
221: 85533
222: 1630471,49611
223: 70896,208092
224: 46461
225: 16556402,308242
226: 150550
227: 1436561,11728244
228: 13270,32571,58968
229: 922583
230: 9228,4269567
232: 32817449,50482,125715
233: 439075
234: 6672660,808818
236: 20107078,19344418,682482
238: 11955,809197
239: 10683,88486
240: 271126,368048
242: 2019834,2019834
243: 737,11424
244: 18940583,106659
246: 863,4181,27956
248: 19196010,600368
250: 3014744
